Character,Line
Darryl Weathers,"Screw this, this is just stupid. 
"
Cartman,"Oh, don't start with me, Kenny!
"
Redneck 30,"FAKE!
"
Cartman,"Kenny! I'm-
"
Trainer 1,"All right, everyone, welcome to the Dolphin Encounter here at the Denver Aquarium.  My name is Chet and I'll be your guide and trainer as you meet these intelligent and truly magical creatures.  And here they come: this is Trigger and Dolly, uh there's Bubbles
"
Stan,"Wow cool.
"
Randy,"Pretty neat birthday, huh Stan?
"
Stan,"Yeah, this is gonna be awesome.
"
Chet,"If they come near you you can touch their back just no grabbing please. What whimsical creatures aren't they? All the dolphins you will be encountering today are Atlantic bottlenose dolphins. Now who would like to get a kiss from one?
"
Girl,"I would like to-
"
Randy,"MEMEME. I wanna kiss it! I wanna kiss it!
"
Trainer 1,"Uh all right, let's just uh, get you to put your hands, palms down, on the water.  The- 
"
Stan,"What the hell is that? 
"
Trainer 2,"Oh no it's the Japanese! 
"
Japanese Man 1,"(In Japanese Accent) Fuck youuu dofiiin!
"
Japanese Man 2,"(In Japanese Accent) Fuck you dofiiin! 
"
Guide,"These are our favorite animals here at the Atlanta Zoo. It's Dolly and Seymour. They are beluga whales. These whales live mostly in the Arctic region- 
"
Japanese Man 3,"(In Japanese Accent) Fuck you, whaaales!
"
Trainer 3,"All right Jessica, now put your arms down like this.  Great job, Jessica!
"
Japanese Man 4,"Fuck you, whaaale! 
"
Trainer 3,"AAAAAAAA!
"
Randy,"Hey pal.  Sorry your birthday got a little ruined by the Japanese.
"
Stan,"Dad, why did they do that?
"
Randy,"Well Stan, the Japanese just... don't really like dolphins very much. Certainly not as much as us normal people do. But hey, at least you still got your T-shirt!   And you always have your neat picture. 
"
Commentator 1,"Dan Dierdorf here, welcoming you to this great football matchup between the Kansas City Chiefs and the Miami Dolphins. We're all set for kickoff and- 
"
Commentator 2,"Oh Dan it looks like Japanese people are now rushing onto the field.  This is not the kind of thing you want happening during kickoff. 
"
Japanese Man 5,"(In Japanese Accent) Fuck you, dofiiin!
"
News Anchor,"Several whales and dolphins were again slaughtered by the Japanese today, this time at the Six Flags Discovery Kingdom near San Francisco.  Aquariums had been experimenting with methods to keep the Japanese out, but so far nothing seems to stop them. When asked if all of Japan supported the slaughtering of whales and dolphins, the current Prime Minister of Japan, Yukio Hatoyama, had this to say
"
Hatoyama,"(In Japanese Accent) Fuck you weiru , anda fuck you dohfiiin! 
"
Cartman,"Can't read my, can't read my, 
No he can't read my poker face. 
She's got to love nobody. 
Can't read my, can't read my, 
No he can't read my poker face. 
She's got to love nobody. 
Papapa poker face papa poker face. 
Mumumumuh. 
Papapa poker face papa poker face. 
Mumumumuh.
"
Stan,"Guys... guys...  Look, I really think it's time for us to do something. This is all getting way out of hand.
"
Cartman,"What do you mean? This song is sweet.
"
Stan,"No, not the song. I'm talking about the Japanese killing whales and dolphins.
"
Kyle,"Dude, they've been doing that for a long time.
"
Stan,"So? Dude, don't you guys care? We have to do something?
"
Kyle,"What are we gonna do, Stan? It's, it's not like we can change the way an entire country thinks. I don't like it, but it's just the way they are.
"
Stan,"It seems like everyone has an attitude of ""that's just the way they are"" or ""that's just the way it is""! Nobody likes it, but everybody's too busy to do anything about it!
"
Cartman,"I'm not too busy, Stan.
"
Stan,"You're not?
"
Cartman,"No, I just don't care. At all.
"
Kenny,"(Yeah, me neither.)
"
Stan,"Kenny? You don't care about whales and dolphins being slaughtered?
"
Cartman,"Stan, me and Kenny don't give two shits about stupid-ass whaaales!
"
Stan,"You know, when all the whales and dolphins in the world are gone, people are gonna wish that at some point they had taken a little time to care just a little goddamn bit! 
"
Cartman,"I wanna roll with him a hard pair we will be.
I don't give a crap 'bout whales so go and hug a tree.
"
Butters,"Hey Stan! I heard you were looking for people who care about the Japanese slaughterin' whales.
"
Stan,"Yeah. Butters, do you wanna help?
"
Butters,"Nononono, I got stuff to do. But I wanted to tell you there's these fellers on TV. They go out in the ocean an' try to stop the Japanese wherever they are.
"
Stan,"Really?  People who are doing something?
"
Butters,"I watch their show all the time. And, they take volunteers.
"
Stan,"Then that's where I belong.
"
Singer,"The world is a vampire, sent to drain.
"
Captain Paul Watson,"Yeah, we're badass.
"
Singer,"Despite all my rage I am still just a rat in a cage.
"
Male Crew 1,"Any means necessary! We're not protesters, we're pirates! 
"
Captain,"That's definitely a Japanese boat.  Looks like they're whaling now. 
"
Japanese Sailor,"Fuck youuu, weiruu!
"
First Mate,"Oh my God, they're gonna kill those humpbacks!
"
Woman,"We've gotta do something!
"
Captain,"Pull up next to them. The fight is on!
"
Stan,"Sweet! 
"
Captain,"Are we ready to do this?
"
Crew,"Yeah!
"
Stan,"Yeah. Hell yeah! Let's do it!
"
Captain,"Are we badasses?
"
"Crew, Stan","Yeah!
"
Captain,"Are we badasses?
"
"Crew, Stan","Yeah!
"
Captain,"All right, so... what do we do?  Wait, I know. How about we go on their ship, and then beat ourselves up? And then we can tell the media they did it?
"
Crewman,"Great idea, Captain!
"
Aussie Crewman,"I'll start right now. 
"
Woman,"""Oy my God, Luke's been hurt trying to save whales.""
"
Captain,"Wait, wait wait. I've got a better idea. How about I pretend to be shot? Then we can tell the media the Japanese shot me, a-and start an international c-crisis?
"
Stan,"Whoa, wait wait, we don't wanna just lie about stuff.
"
Captain,"Why not?
"
Stan,"Well, 'cause then we're just douchebags, dude. Come on, they're right here. Let, let's get hardcore!
"
Captain,"You know what? He's right. It's time to bring out the big guns! You guys ready?  Ready? And... throw the stinky butter at them! 
"
Luke,"Haha, you stink now! Haha!
"
Stan,"Wait, that's it?
"
Captain,"Yeah, we make 'em stink. Haha your boat is stinky! Here, th- here, throw one.
"
Stan,"Those guys are always covered in dolphin and whale guts. They don't care if they stink. Come on, let's break their boat.
"
Captain,"Well no, that'd be illegal.
"
Crewman 2,"Yeah.
"
Stan,"I thought you guys were pirates in a war!
"
Woman,"I'm a pirate in a war.
"
Stan,"Pirates don't worry about the law! You guys said you were badasses!
"
Captain,"We are. People think our methods are extreme. But we'll keep making their boats stink as long as they're killing whales and dolphins!
"
Luke,"The Japanese are scared of how hardcore we are. 
"
Woman,"Paul! 
"
Crewman,"Paul?
"
Crewman 2,"What do we do?
"
Woman,"We don't have a captain!
"
Crewman,"Oh my God, oh my God!
"
Woman 2,"Maybe he's okay.
"
Crewman 2,"Oh my God.
"
Luke,"What did you do?
"
Stan,"What you assholes acted like you were doing? 
"
Stan,"Wait for it... wait for it... NOW! 
"
The Japanese,"Ohhhh Gojira! Gojira! 
"
Hatoyama,"Nippon no gaijin!  Kuso, taberu na! 
"
Announcer,"And now, Larry King, live.
"
Larry King,"My guest tonight is the little boy who took over the Whale Wars reality show and turned it into a big hit. Please welcome Stan Marsh and his crew.
"
Luke,"'Ey Jordan! I'm on Larry King, mate!
"
Larry King,"So Stan, what motivated you, what... inspired you to get out there and make a hit TV show?
"
Stan,"No I, I don't really care about the TV show, I'm just trying to stop the Japanese from killing dolphins and whales.
"
Larry King,"Once you became captain the methods used to stop the Japanese definitely became more aggressive. Was that the key to help boost your ratings?
"
Stan,"...No, I don't care about the show.
"
Woman 2,"We're pirates.
"
Stan,"I just want people to know that you can stop the Japanese if you have some real goddamned balls
"
Woman 2,"I've got balls! 
"
Larry King,"Well there are many people who see what you're doing as a positive thing, and of course, many that see problems with it. Joining us now is one of those people and...  You say Stan's methods are unethical.
"
Sid,"Larry, you can't just go out and take matters into your own hands like this. If you want a hit TV show you have to go through producers, directors, people that are in unions.
"
Larry King,"But Sid, you saw the show before Stan took it over; you have to admit that it was nothing but incompetent vegan pussies doing absolutely nothing and trying to turn it into drama.
"
Sid,"Yes, but it doesn't justify changing the entire show structure that their old captain had pitched to the network.
"
Stan,"Can we please just talk about the actual whaling problem for a second?!
"
Larry King,"But their old captain, Paul Watson , was an unorganized incompetent media whore who thought lying to everyone was okay as long as it served his cause.
"
Sid,"He yes, of course, everyone knows that Paul Watson was a smug, narcoleptic liar with no credibility, but we must-
"
Stan,"Screw this, I gotta get back to work!
"
Announcer,"On this episode of Real Actual Whale Wars, Captain Marsh searches for the Japanese fleet, knowing they could be absolutely anywhere. 
"
Stan,"Would you mind stepping back a little?
"
Luke,"Captain! Captain, some new volunteers showed up to help us in our crusade! 
"
Stan,"No- Dude, we really can't take any more volunteers.
"
Luke,"But they say you know them. 
"
Cartman,"Ahall right dude, this is pretty sweet! .
"
Stan,"Oh no, no, NO.
"
Cartman,"What dude?
"
Stan,"Oh what? So now that I have a hit TV show you guys care about dolphins and whales?
"
Cartman,"We always have.
"
Kenny,"(Yeah, totally!)
"
Stan,"I asked you guys to help me and you said no!
"
Cartman,"That's not what we said.
"
Stan,"You said ""Stan, me and Kenny don't give two shits about stupid-ass whales!""
"
Cartman,"We were talking about Wales the country.
"
Stan,"Look, if you admit that you're only doing this because you wanna be on TV, then I'll consider it! Admit you just wanna be on TV!
"
Kenny,"(I just want to be on TV.)
"
Cartman,"Kenny!  I deserve to be on TV.
"
Crewman 2,"Captain! Captain, the Japanese have been spotted near buoy 24!
"
Stan,"Take us out of port! All hands to stations!
"
Cartman,"All right! Let's go save those whales, you guys! 
"
Announcer,"Captain Marsh races his boat to the last known location of the Japanese whalers. If he doesn't get there in time, hundreds of dolphins or whales could die.
"
Stan,"As soon as we get there, we've gotta deploy the tracking device! We can't let those whales get hurt! 
"
Crewman 2,"What the hell was that?!
"
Crewman 3,"We just got rammed.
"
Stan,"Oh the Japanese wanna play that way, huh?!
"
Crewman 4,"It's not the Japanese.
"
Stan,"What? 
"
Announcer,"On deck the crew is surprised at what they see. The other boat is from Deadliest Catch, a crab-fishing reality show.
"
DC Captain,"You think you're so cool, don'tcha?! You think you're big boat reality show on the block?!  You're taking away men's livelihoods!
"
Stan,"What? Dude, we're trying to get to some whales.
"
DC Captain,"You're taking viewers away from our show, you stupid ass!
"
Cartman,"Your show is fuckin' gay, dude!
"
DC Crewman,"Your show is fuckin' gay!
"
Stan,"Screw this! Turn hard to port! 
"
Announcer,"But everywhere his reality show's boat turns, the crab fishing reality boat block its path. 
"
Stan,"Dude, fuck you!
"
DC Captain,"Fuck you!
"
Announcer,"It's been three hours and the crab fishing reality show isn't budging.  Captain Marsh's boat is dead in the water. He can't go after the Japanese, he can't help the whales or dolphins. Once again on Whale Wars, nothing is happening.
"
Crewman 3,"It's pretty difficult times because uh, we know that every minute we're sitting here stopped, a, another whale is dying.
"
Cartman,"Really tough, you know. It's... really hard. It's like , we've dedicated all this time and all our lives to saving these majestic creatures.
"
Kenny,"(And they're all shot.) 
"
Cartman,"Shhh, Kenny...  Old Ken is taking it especially hard. He's always loved dolphins so much that he-  Yeah yeah but, but keep it in a two-shot, though.  Yeah, keep it there.  He's always loved dolphins so much that he would do anything.
"
Kenny,"(I would do anything!) 
"
Announcer,"The crab-fishing reality show was doing just fine. 
"
DC Crew,"Yeah! Woohoo! Alright! 
"
Announcer,"But for the Whale Wars crew, it appears the show is over. Until... a sound is heard. 
"
Stan,"What was that? 
"
Benjamin,"Captain, look!
"
The Crew,"Wow. Whoa. 
"
Woman 2,"The whales are taking out the crab fisherman reality show!
"
Stan,"It's like... they know. 
"
DC Crewmen,"Hey. Heeey. Noo! Stop! 
"
Stan,"They do know. They know everything I've been trying to do for them.
"
Cartman,"Our gentle friends of the sea have saved the day. Because they know that only we can save them from the Japanese. 
"
Japanese Pilot,"Bonzaaaaaaaai! 
"
Stan,"Jesus Christ!  We've gotta get something to shoot 'em with!
"
Woman 2,"Look out! 
"
Stan,"I, I can't, I can't believe it.
"
Cartman,"Dude, you know what? Japanese people really do not like whales.  Uh oh.
"
Cartman,"Well I'm in Japanese prison Lawd
Japanese prison got me down
Said I'm in Japanese prison Lawd
Don't belong here, my eyes are round.
"
